Monat;Machine Learning: (Deutschland)
2015-01;12
2015-02;11
2015-03;16
2015-04;25
2015-05;19
2015-06;22
2015-07;26
2015-08;18
2015-09;28
2015-10;22
2015-11;29
2015-12;22
2016-01;24
2016-02;24
2016-03;27
2016-04;37
2016-05;31
2016-06;36
2016-07;20
2016-08;36
2016-09;41
2016-10;48
2016-11;45
2016-12;35
2017-01;49
2017-02;42
2017-03;56
2017-04;64
2017-05;55
2017-06;54
2017-07;54
2017-08;65
2017-09;70
2017-10;70
2017-11;73
2017-12;69
2018-01;73
2018-02;76
2018-03;81
2018-04;75
2018-05;78
2018-06;90
2018-07;77
2018-08;78
2018-09;88
2018-10;85
2018-11;80
2018-12;76
2019-01;77
2019-02;87
2019-03;71
2019-04;87
2019-05;92
2019-06;68
2019-07;100
2019-08;65
2019-09;97
2019-10;96
2019-11;86
2019-12;62
2020-01;80
2020-02;70
2020-03;67
2020-04;75
2020-05;76
2020-06;77
2020-07;81
2020-08;70
2020-09;91
2020-10;65
2020-11;94
2020-12;77
2021-01;74
